ID,ID Ind,ep,ntcc,CF,Processors,
1,2875,0.111111,0.833333,0.438989,1,
2,455,0.111111,0.833333,0.438989,1,
3,4091,0.111111,0.833333,0.438989,1,
4,1980,0.111111,0.833333,0.438989,1,
5,993,0.111111,0.833333,0.438989,1,
6,2358,0.111111,0.833333,0.438989,1,
7,2488,0.111111,0.833333,0.438989,1,
8,2938,0.111111,0.833333,0.438989,1,
9,2871,0.111111,0.833333,0.438989,1,
10,4771,0.111111,0.833333,0.438989,1,
11,4360,0.111111,0.833333,0.438989,1,
12,344,0.111111,0.833333,0.438989,1,
13,3935,0.111111,0.833333,0.438989,1,
14,2048,0.111111,0.833333,0.438989,1,
15,1333,0.111111,0.833333,0.438989,1,
16,3245,0.111111,0.833333,0.438989,1,
17,413,0.111111,0.833333,0.438989,1,
18,4862,0.111111,0.833333,0.438989,1,
19,900,0.111111,0.833333,0.438989,1,
20,3784,0.111111,0.833333,0.438989,1,
21,3034,0.111111,0.833333,0.438989,1,
22,2614,0.111111,0.833333,0.438989,1,
23,3012,0.111111,0.833333,0.438989,1,
24,2369,0.111111,0.833333,0.438989,1,
25,598,0.111111,0.833333,0.438989,1,
26,3015,0.111111,0.833333,0.438989,1,
27,4858,0.111111,0.833333,0.438989,1,
28,4546,0.111111,0.833333,0.438989,1,
29,475,0.111111,0.833333,0.438989,1,
30,2518,0.111111,0.833333,0.438989,1,
31,2177,0.111111,0.833333,0.438989,1,
32,3199,0.111111,0.833333,0.438989,1,
33,3399,0.111111,0.833333,0.438989,1,
34,3910,0.111111,0.833333,0.438989,1,
35,2542,0.111111,0.833333,0.438989,1,
36,3876,0.111111,0.833333,0.438989,1,
37,2385,0.111111,0.833333,0.438989,1,
38,4608,0.111111,0.833333,0.438989,1,
39,2220,0.111111,0.833333,0.438989,1,
40,3856,0.111111,0.833333,0.438989,1,
41,510,0.111111,0.833333,0.438989,1,
42,1902,0.111111,0.833333,0.438989,1,
43,3518,0.111111,0.833333,0.438989,1,
44,2461,0.111111,0.833333,0.438989,1,
45,2946,0.111111,0.833333,0.438989,1,
46,2538,0.111111,0.833333,0.438989,1,
47,492,0.111111,0.833333,0.438989,1,
48,675,0.111111,0.833333,0.438989,1,
49,2184,0.111111,0.833333,0.438989,1,
50,4193,0.111111,0.833333,0.438989,1,
51,2471,0.111111,0.833333,0.438989,1,
52,3838,0.111111,0.833333,0.438989,1,
53,4890,0.111111,0.833333,0.438989,1,
54,683,0.111111,0.833333,0.438989,1,
55,4716,0.111111,0.833333,0.438989,1,
56,586,0.111111,0.833333,0.438989,1,
57,3693,0.111111,0.833333,0.438989,1,
58,4840,0.111111,0.833333,0.438989,1,
59,3809,0.111111,0.833333,0.438989,1,
60,3659,0.111111,0.833333,0.438989,1,
61,3656,0.111111,0.833333,0.438989,1,
62,1082,0.111111,0.833333,0.438989,1,
63,2573,0.111111,0.833333,0.438989,1,
64,128,0.111111,0.833333,0.438989,1,
65,3619,0.111111,0.833333,0.438989,1,
66,148,0.111111,0.833333,0.438989,1,
67,1843,0.111111,0.833333,0.438989,1,
68,4655,0.125000,0.750000,0.425100,2,
69,2023,0.125000,0.750000,0.225218,2,
70,809,0.125000,0.750000,0.425100,2,
71,138,0.125000,0.750000,0.425100,2,
72,2804,0.125000,0.750000,0.425100,2,
73,3116,0.125000,0.750000,0.225218,2,
74,187,0.125000,0.750000,0.425100,2,
75,4192,0.125000,0.750000,0.425100,2,
76,1548,0.125000,0.750000,0.425100,2,
77,3834,0.125000,0.750000,0.425100,2,
78,1153,0.125000,0.750000,0.425100,2,
79,1505,0.143518,0.666667,0.412137,0,
80,2549,0.143518,0.666667,0.412137,0,
81,540,0.180556,0.583333,0.402828,3,
82,408,0.263889,0.500000,0.197953,4,
83,150,0.263889,0.500000,0.197953,4,
84,3409,0.263889,0.500000,0.197953,4,
85,2051,0.356481,0.416667,0.404630,2,
86,2201,0.356481,0.416667,0.404630,2,
87,3900,0.356481,0.416667,0.404630,2,
88,3151,0.356481,0.416667,0.404630,2,
89,35,0.356481,0.416667,0.404630,2,
90,2003,0.356481,0.416667,0.404630,2,
91,1997,0.356481,0.416667,0.404630,2,
92,2154,0.356481,0.416667,0.404630,2,
93,1964,0.356481,0.416667,0.404630,2,
94,3718,0.356481,0.416667,0.404630,2,
95,2142,0.356481,0.416667,0.404630,2,
96,4064,0.356481,0.416667,0.404630,2,
97,386,0.356481,0.416667,0.404630,2,
98,4159,0.356481,0.416667,0.404630,2,
99,579,0.356481,0.416667,0.404630,2,
100,4691,0.356481,0.416667,0.404630,2,
101,2484,0.356481,0.416667,0.404630,2,
102,2764,0.356481,0.416667,0.404630,2,
103,4666,0.356481,0.416667,0.404630,2,
104,277,0.356481,0.416667,0.404630,2,
105,2881,0.356481,0.416667,0.404630,2,
